Id,Icon,Name_DE,Name_EN,Name_PRT,Name_ESP,Calories_a_100g,Weight_per_piece,GroupId,Fat_a_100g,Saturated_fat_a_100g,Carbohydrates_a_100g,Sugar_a_100g,Salt_a_100g,Protein_a_100g,Fiber_a_100g,Name_ID,Name_NL,Name_SE,Name_DK,Name_NO,Name_MS,Genus_DE,Genus_EN,Genus_ESP,Genus_PRT,Genus_ID,Genus_MS,Genus_NL,Genus_SE,Genus_DK,Genus_NO,is_liquid,is_hard,is_soft,is_fat
35,🥛,Crème fraîche,Crème fraîche,Crème fraîche,Crème fraîche,295,0,3,30.00,20.00,2.50,2.50,0.05,2.30,0.00,Kacang arab,Crème fraîche,Crème fraîche,Creme fraiche,Crème fraîche,Crème fraîche,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
36,🥛,Joghurt (Natur),Yogurt (Plain),Iogurte (Natural),Yogur (Natural),65,0,3,3.50,2.30,4.70,4.70,0.10,3.80,0.00,Quinoa,Yoghurt (natuurlijk),Yoghurt (naturell,Yoghurt (naturel),Yoghurt (naturell),Yogurt (asli),M,-,M,M,-,-,DE,EN,EN,EN,0,0,1,0
37,🥛,Magerquark,Lean Curd cheese,Queijo Quark magro,Queso batido 0%,68,0,3,0.30,0.10,4.70,4.70,0.10,12.00,0.00,Gandum bulgur,Magere kwark,Kvarg (mager,Kvark (mager),Mager kesam,Kuark rendah lemak,M,-,M,M,-,-,DE,EN,EN,EN,0,0,1,0
38,🥛,Mascarpone,Mascarpone,Mascarpone,Mascarpone,416,0,3,42.00,29.00,4.60,4.60,0.05,4.50,0.00,Gandum couscous,Mascarpone,Mascarpone,Mascarpone,Mascarpone,Mascarpone,M,-,M,M,-,-,DE,EN,EN,EN,0,0,1,0
39,NULL,Mozzarella,Mozzarella,Mozzarela,Mozzarella,280,0,3,20.00,14.00,1.50,1.50,0.60,18.00,0.00,Roti,Mozzarella,Mozzarella,Mozzarella,Mozzarella,Mozzarella,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
40,NULL,Parmesan,Parmesan cheese,Queijo Parmesão,Queso Parmesano,402,0,3,30.00,20.00,0.00,0.00,1.60,32.50,0.00,Roti gandum,Parmezaanse kaas,Parmesan,Parmesan,Parmesan,Parmesan,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
41,NULL,Gouda,Gouda cheese,Queijo Gouda,Queso Gouda,364,0,3,30.00,20.00,0.00,0.00,1.80,23.00,0.00,Roti pita,Goudse kaas,Goudaost,Gouda,Goudaost,Keju Gouda,M,-,F,F,-,-,DE,ET,EN,ET,0,1,0,0
42,NULL,Cheddar,Cheddar cheese,Queijo Cheddar,Queso Cheddar,403,0,3,33.00,21.00,0.10,0.10,1.80,25.00,0.00,Tortilla,Cheddar,Cheddarost,Cheddar,Cheddarost,Keju Cheddar,M,-,M,M,-,-,DE,ET,EN,ET,0,1,0,0
43,NULL,Paniermehl,Breadcrumbs,"Farinha de rosca ",Pan rallado,362,6,7,1.90,0.70,72.00,3.40,1.20,11.50,4.30,Keju,Paneermeel,Ströbröd,Rasp,Brødrasp,Serbuk roti,N,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
44,🥛,"Butterschmalz ",Clarified butter,Manteiga clarificada,Mantequilla clarificada,898,5,7,99.80,62.00,0.00,0.00,0.00,0.10,0.00,Keju feta,Geklaarde boter,Klarat smör,Klaret smør,Klaret smør,Minyak sapi (Ghee),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,1
45,NULL,Dinkelmehl,Spelt flour,Farinha de espelta,Harina de espelta,348,6,8,1.30,0.20,69.00,1.50,0.01,12.50,3.70,Mozzarella,Speltbloem,Dinkelmjöl,Stavet mel,Speltmel,Tepung spelt,N,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
46,NULL,Maisstärke,Cornflour,Amido de milho,Maicena,350,4,7,0.10,0.00,87.00,0.00,0.01,0.30,0.00,Parmesan,Maïszetmeel,Majsstärkelse,Majsstivelse,Maisstivelse,Tepung jagung,F,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
47,NULL,Knoblauchpulver,Garlic powder,Alho em pó,Ajo en polvo,332,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Yogurt,Knoflookpoeder,Vitlökspulver,Hvidløgspulver,Hvitløkspulver,Serbuk bawang putih,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
48,NULL,Majoran (frisch),Fresh Marjoram,Manjerona fresca,Mejorana fresca,43,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Krim asam,Majoraan (vers),Mejram (färsk,Merian (frisk),Merian (frisk),Marjoram (segar),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
49,NULL,Majoran (getrocknet),Dried Marjoram,Manjerona seca,Mejorana seca,271,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Krim,Majoraan (gedroogd),Mejram (torkad,Merian (tørret),Merian (tørket),Marjoram (kering),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
50,NULL,Frühlingszwiebeln,Spring onion,Cebolinha (verde),Cebolleta,34,40,2,0.20,0.00,3.50,2.30,0.01,1.80,2.60,Schmand,Bosuien,Salladslök,Forårsløg,Vårløk,Daun bawang,F,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
51,🍅,Tomaten,Tomato,Tomate,Tomate,18,100,2,0.20,0.00,2.60,2.50,0.01,0.90,1.20,Keju cottage,Tomaten,Tomater,Tomater,Tomater,Tomato,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
52,🍅,Cherrytomate,Cherry tomato,Tomate cereja,Tomate cherry,25,15,2,0.30,0.00,3.80,3.80,0.01,1.00,1.50,Tahu,Cherrytomaten,Körsbärstomater,Cherrytomater,Cherrytomater,Tomato ceri,F,-,M,F,-,-,PL,EN,EN,EN,0,1,0,0
53,🍅,getrocknete Tomaten,Sun-dried tomatoes,Tomate seco,Tomates secos,285,7,2,3.00,0.00,43.50,37.60,5.00,14.10,12.60,Tempe,Gedroogde tomaten,Soltorkade tomater,Soltørrede tomater,Soltørkede tomater,Tomato kering,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
54,🍋‍🟩,Limette (frisch),Lime,Lima,Lima,30,80,2,0.20,0.00,10.50,1.70,0.01,0.70,2.80,Sosis,Limoen (vers),Lime (färsk,Lime (frisk),Lime (frisk),Limau nipis (segar),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
55,🍋‍🟩,"Limettensaft ",Lime juice,Sumo de lima,Zumo de lima,25,5,2,0.10,8.40,1.70,0.40,0.01,0.01,0.40,Daging cincang,Limoensap,Limesaft,Limesaft,Limesaft,Jus limau nipis,M,-,F,F,-,-,DE,ET,ET,ET,1,0,0,0
56,NULL,Ahornsirup,Maple syrup,Xarope de ácer,Jarabe de arce,260,7,7,0.10,0.00,67.00,60.00,0.01,0.10,0.00,Bacon,Ahornsiroop,Lönnsirap,Ahornsirup,Lønnesirup,Sirap mapel,M,-,M,M,-,-,DE,EN,EN,EN,0,0,1,0
57,NULL,Vanilleextrakt,Vanilla extract,Extrato de baunilha,Extracto de vainilla,288,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ham,Vanille-extract,Vaniljextrakt,Vaniljeekstrakt,Vaniljeekstrakt,Ekstrak vanila,M,-,F,F,-,-,DE,ET,ET,ET,0,1,0,0
58,NULL,Vollkornmehl,Whole wheat flour,Farinha de trigo integral,Harina de trigo integral,332,7,8,2.00,0.30,61.00,1.00,0.01,12.00,11.00,Ikan salmon,Volkorenmeel,Fullkornsmjöl,Fuldkornsmel,Fullkornsmel,Tepung gandum penuh,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
59,NULL,Backkakao,Cocoa powder (unsweetened),Cacau em pó (sem açúcar),Cacao en polvo (sin azúcar),348,3,8,21.00,13.00,13.00,1.00,0.08,20.00,32.00,Ikan tuna,Bakcacao,Bakkakao,Bagekakao,Bakekakao,Serbuk koko masakan,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
60,NULL,Backpulver,Baking powder,Fermento em pó,Levadura química,0,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ikan cod,Bakpoeder,Bakpulver,Bagepulver,Bakepulver,Serbuk penaik,N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
61,NULL,Natron,Natron,Bicarbonato de sódio,Bicarbonato de sodio,0,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ikan makarel,Zuiveringszout,Bikarbonat,Natron,Natron,Soda penaik,M,-,M,M,-,-,DE,ET,EN,EN,0,1,0,0
62,NULL,Kichererbsen (gekocht / aus der Dose),Chickpeas,Grão-de-bico,Garbanzos,129,240,9,2.50,0.00,16.80,0.50,0.40,7.20,7.60,Ikan herring,"Kikkererwten (gekookt, uit blik)","Kikärtor (kokta, på burk)","Kikærter (kogte, på dåse)","Kikerter (kokte, på boks)","Kacang kuda (dimasak, dalam tin)",M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
63,🫚,Ingwer,Ginger,Gengibre,Jengibre,80,5,2,0.80,0.00,17.80,1.70,0.03,1.80,2.00,Udang,Gember,Ingefära,Ingefær,Ingefær,Halia,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
64,🫑,Paprika (gelb),Yellow bell pepper,Pimento amarelo,Pimiento amarillo,27,160,2,0.20,0.00,6.30,5.80,0.01,1.00,2.10,Cumi-cumi,Paprika (geel),Paprika (gul,Peberfrugt (gul),Paprika (gul),Lada benggala (kuning),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
65,🫑,Paprika (rot),Red bell pepper,Pimento vermelho,Pimiento rojo,37,180,2,0.30,0.00,6.40,6.00,0.01,1.30,2.00,Kerang,Paprika (rood),Paprika (röd,Peberfrugt (rød),Paprika (rød),Lada benggala (merah),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
66,🫑,Paprika (grün),Green bell pepper,Pimento verde,Pimiento verde,20,180,2,0.20,0.00,2.90,2.40,0.01,0.90,1.80,Beras arborio,Paprika (groen),Paprika (grön,Peberfrugt (grøn),Paprika (grønn),Lada benggala (hijau),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
67,🥥,Kokosmilch,Coconut milk,Leite de coco,Leche de coco,200,400,7,18.00,16.00,3.00,2.00,0.05,2.00,0.00,Mi,Kokosmelk,Kokosmjölk,Kokosmælk,Kokosmelk,Santan,F,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
68,🧂,Currypulver,Curry powder,Caril em pó,Curry en polvo,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mi telur,Kerriepoeder,Currypulver,Karry,Karripulver,Serbuk kari,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
69,🫚,Kurkuma (gemahlen),Turmeric,Cúrcuma,Cúrcuma,0,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mi soba,Kurkuma (gemalen),Gurkmeja (malen,Gurkemeje (stødt),Gurkemeie (malt),Kunyit (serbuk),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
70,NULL,Koriander (frisch),Fresh Coriander,Coentro,Cilantro,23,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Soun,Koriander (vers),Koriander (färsk,Koriander (frisk),Koriander (frisk),Daun ketumbar (segar),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
71,NULL,Kreuzkümmel (Cumin),Cumin,Cominho,Comino,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tepung roti,Komijn,Spiskummin,Spidskommen,Spisskummen,Jintan putih,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
72,NULL,Cayennepfeffer,Cayenne pepper,Pimenta Caiena,Pimienta de Cayena,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ragi,Cayennepeper,Cayennepeppar,Cayennepeber,Cayennepepper,Lada cayenne,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
73,NULL,Zimt,Cinnamon,Canela,Canela,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Baking powder,Kaneel,Kanel,Kanel,Kanel,Kayu manis,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
74,NULL,Trockenhefe,"Dry yeast ",Fermento de padeiro seco,Levadura seca,0,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Soda kue,Droge gist,Torrjäst,Tørgær,Tørrgjær,Yis kering,F,-,F,M,-,-,DE,ET,EN,EN,0,1,0,0
75,🫗,Wasser,Water,Água,Agua,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Garam,Water,Vatten,Vand,Vann,Air,N,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
76,NULL,Haferflocken,Rolled oats,Flocos de aveia,Copos de avena,370,5,7,7.00,0.00,58.70,0.70,0.01,13.50,10.00,Lada,Havermout,Havregryn,Havregryn,Havregryn,Oat,PL,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
77,🥦,Brokkoli,Broccoli,Brócolos,"Brócoli ",34,500,2,0.40,0.00,2.70,1.70,0.03,3.80,3.00,Paprika bubuk,Broccoli,Broccoli,Broccoli,Brokkoli,Brokoli,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
78,NULL,Thymian (frisch),Fresh Thyme,Tomilho fresco,Tomillo fresco,101,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jinten,Tijm (vers),Timjan (färsk,Timian (frisk),Timian (frisk),Thyme (segar),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
79,NULL,Thymian (getrocknet),Dried Thyme,Tomilho seco,Tomillo seco,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ketumbar,Tijm (gedroogd),Timjan (torkad,Timian (tørret),Timian (tørket),Thyme (kering),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
80,NULL,"Sellerie Stange ",Celery (stalk),Aipo,Apio,16,50,2,0.20,0.00,3.00,1.40,0.20,0.70,1.60,Oregano,Bleekselderij,Stjälkselleri,Bladselleri,Stangselleri,Batang saderi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
81,🍷,Rotwein,Red wine,Vinho tinto,Vino tinto,85,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Basil,Rode wijn,Rött vin,Rødvin,Rødvin,Wain merah,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
82,.,Oregano (getrocknet),Oregano,Orégãos,Orégano,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Peterseli,Oregano (gedroogd),Oregano (torkad,Oregano (tørret),Oregano (tørket),Oregano (kering),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
83,🧅,Rote Zwiebeln,Red onion,Cebola roxa,Cebolla roja,37,80,2,0.10,0.00,8.30,4.20,0.01,1.20,1.70,Dill,Rode uien,Rödlök,Rødløg,Rødløk,Bawang besar merah,F,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
84,🥒,Gurke,Cucumber,Pepino,Pepino,12,400,2,0.20,0.00,3.60,1.70,0.01,0.70,0.50,Thyme,Komkommer,Gurka,Agurk,Agurk,Timun,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
85,🥚,Eier,Egg,Ovo,Huevo,155,55,7,11.00,3.30,1.10,1.10,0.30,13.00,0.00,Rosemary,Eieren,Ägg,Æg,Egg,Telur,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
86,🥒,Zucchini,Courgette,Abobrinha,Calabacín,17,220,2,0.30,0.00,3.10,2.50,0.01,1.20,1.00,Kayu manis,Courgette,Zucchini,Squash,Squash,Zukini,F,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
87,NULL,Sojasoße,Soy sauce,Molho de soja,Salsa de soja,55,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Vanila,Sojasaus,Sojasås,Sojasauce,Sojasaus,Kicap soya,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
88,NULL,Essig,Vinegar,Vinagre,Vinagre,0,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kakao,Azijn,Vinäger,Eddike,Eddik,Cuka,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
89,🥩,Rinderfilet,Filet Mignon,Filé mignon,Solomillo de ternera,120,0,1,4.00,1.60,0.00,0.00,0.05,21.20,0.00,Cokelat,Ossenhaas,Oxfilé,Oksemørbrad,Indrefilet av storfe,Daging batang pinang,N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
90,🥩,Entrecôte,Ribeye steak,Contrafilé,Entrecot,218,350,1,14.00,6.00,0.00,0.00,0.05,21.00,0.00,Madu,Entrecote,Entrecôte,Entrecôte,Entrecôte,Entrecôte (daging rusuk),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
91,🥩,Rumpsteak,Rumpsteak,Alcatra,Lomo bajo,162,350,1,8.20,3.50,0.00,0.00,0.05,22.00,0.00,Sirup maple,Rumpsteak,Ryggbiff,Rumpsteak,Ytrefilet av storfe,Steak batang pinang,N,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
92,🥩,Rinder-Oberschale,Topside,Chã de dentro,Tapa,126,0,1,3.80,1.40,0.00,0.00,0.05,21.10,0.00,Saus tomat,Bovenbil rund,Innanlår av nöt,Yderlår af okse,Lårtunge av storfe,Daging bahagian atas (lembu),F,-,F,M,-,-,DE,ET,EN,EN,0,1,0,0
