======================================================================
FEHLENDE ZUTATEN – Noch nicht in IngredientsAndNutrients (neues System)
Stand: 2026-02-17 | Basierend auf: recipe_schema_export_20260216_221020.json
Gesamt fehlend: 571 | Bereits vorhanden: 108 | Total: 679
======================================================================

Sortiert nach Verwendungshaeufigkeit in Rezepten (absteigend)
Format: [Anzahl Rezepte] Name  (alte ID)

HOCH PRIORISIERT – 37 Zutaten (>= 30 Rezepte)
--------------------------------------------------
  [ 351x]  Öl                                             (ID=48)
  [ 267x]  Paprikapulver (edelsüß)                        (ID=522)
  [ 150x]  Kreuzkümmel                                    (ID=78)
  [ 136x]  Hähnchenbrustfilets                            (ID=794)
  [ 123x]  Tomaten (gehackt, aus der Dose, 400g.)         (ID=498)
  [ 120x]  Backpulver                                     (ID=65)
  [ 117x]  Koriander                                      (ID=77)
  [   8x]  Worcestershire-Sauce                           (ID=670)
  [   7x]  Kokosöl                                        (ID=173)
  [   7x]  Couscous                                       (ID=233)
  [   7x]  Mandeln (gemahlen)                             (ID=542)
  [   7x]  Weißweinessig                                  (ID=452)
  [   7x]  Saure Sahne                                    (ID=464)
  [   7x]  Mandelmehl                                     (ID=512)
  [   7x]  Altbackenes Brot                               (ID=515)
  [   7x]  Grüner Pfeffer                                 (ID=565)
  [   7x]  frische Früchte                                (ID=756)
  [   7x]  Pommes                                         (ID=843)
  [   7x]  Zwiebelpulver                                  (ID=845)
  [   6x]  Ketchup                                        (ID=121)
  [   6x]  Seidentofu                                     (ID=162)
  [   6x]  Mango                                          (ID=186)
  [   6x]  Risotto-Reis                                   (ID=194)
  [   6x]  Kapern                                         (ID=197)
  [   6x]  Curry-Paste                                    (ID=640)
  [   6x]  Bulgur                                         (ID=235)
  [   6x]  Chilischoten                                   (ID=502)
  [   6x]  Blätterteig                                    (ID=288)
  [   6x]  Glutenfreies Mehl                              (ID=294)
  [   6x]  Rotkohl                                        (ID=304)
  [   6x]  Aprikosenmarmelade                             (ID=310)
  [   6x]  Schokoladenglasur                              (ID=311)
  [   6x]  Reispapier                                     (ID=384)
  [   6x]  Venusmuscheln                                  (ID=427)
  [   6x]  Granatapfelkerne                               (ID=447)
  [   6x]  Empanada-Teig                                  (ID=462)
  [   6x]  Kürbis (Hokkaido oder Butternut)               (ID=491)
  [   6x]  Sucuk                                          (ID=520)
  [   6x]  griechischer Joghurt                           (ID=644)
  [   6x]  Gelatine                                       (ID=650)
  [   6x]  Mascarpone                                     (ID=702)
  [   6x]  Pistazien                                      (ID=708)
  [   6x]  Butterkekse                                    (ID=870)
  [   5x]  Dinkelmehl                                     (ID=43)
  [   5x]  Cashewkerne                                    (ID=367)
  [   5x]  Schweineschnitzel                              (ID=265)
  [   5x]  Ananasstücke                                   (ID=271)
  [   5x]  Schnittlauch                                   (ID=228)
  [   5x]  Lammfleisch                                    (ID=330)
  [   5x]  Datteln                                        (ID=353)
  [   5x]  Grünkohl                                       (ID=383)
  [   5x]  Smelt                                          (ID=401)
  [   5x]  Jambu                                          (ID=402)
  [   5x]  Tucupi                                         (ID=403)
  [   5x]  Maniokmehl                                     (ID=404)
  [   5x]  Shiitake-Pilze                                 (ID=418)
  [   5x]  Gochujang-Sauce                                (ID=419)
  [   5x]  Senfsamen                                      (ID=422)
  [   5x]  Rote Chilis                                    (ID=423)
  [   5x]  Grüne Chilischoten                             (ID=441)
  [   5x]  Poblano-Chilis                                 (ID=444)
  [   5x]  Achiote-Paste                                  (ID=451)
  [   5x]  Bananenblätter                                 (ID=453)
  [   5x]  Hominy                                         (ID=456)
  [   5x]  Masa-Mehl                                      (ID=459)
  [   5x]  Getrocknete Maisblätter                        (ID=471)
  [   5x]  Schweinefleisch (mager)                        (ID=521)
  [   5x]  Puddingpulver                                  (ID=539)
  [   5x]  Kirschwasser                                   (ID=543)
  [   5x]  Apfelwein                                      (ID=564)
  [   5x]  Sauerkrautblätter                              (ID=602)
  [   5x]  Fettuccine                                     (ID=627)
  [   5x]  reife Jackfruit                                (ID=755)
  [   5x]  Muskat-Kürbis                                  (ID=778)
  [   5x]  Rinderfilet                                    (ID=800)
  [   5x]  Sesam-Brötchen                                 (ID=826)
  [   5x]  Schokoladenkekse                               (ID=871)
  [   5x]  Liquid Smoke                                   (ID=888)
  [   4x]  Natron                                         (ID=66)
  [   4x]  Schweineschulter                               (ID=146)
  [   4x]  Agar-Agar                                      (ID=184)
  [   4x]  Sauerkraut                                     (ID=374)
  [   4x]  Rinderschmorbraten                             (ID=277)
  [   4x]  Apfelsaft                                      (ID=301)
  [   4x]  Himbeermarmelade                               (ID=316)
  [   4x]  Vegane Schokolade                              (ID=357)
  [   4x]  Mandelmus                                      (ID=364)
  [   4x]  Sojajoghurt                                    (ID=368)
  [   4x]  Minze                                          (ID=1228)
  [   4x]  Pfirsiche                                      (ID=446)
  [   4x]  Chorizo                                        (ID=460)
  [   4x]  Masa Harina                                    (ID=467)
  [   4x]  Grüner Spargel                                 (ID=494)
  [   4x]  Kokosmehl                                      (ID=524)
  [   4x]  Vanilleschote                                  (ID=571)
  [   4x]  Zuckerschoten                                  (ID=625)
  [   4x]  Hähnchenflügel                                 (ID=641)
  [   4x]  Eiweiße                                        (ID=652)
  [   4x]  Kalbshaxen                                     (ID=667)
  [   4x]  weiße Bohnen                                   (ID=695)
  [   4x]  Rotweinessig                                   (ID=741)
  [   4x]  Baguette                                       (ID=774)
  [   4x]  Speckwürfel                                    (ID=797)
  [   4x]  Maiskolben                                     (ID=891)
  [   4x]  Leinsamen                                      (ID=928)
  [   4x]  Vorgekochte Maronen                            (ID=1176)
  [   4x]  Paprikapulver (geräuchert)                     (ID=1202)
  [   3x]  Ingwer (ca 2cm)                                (ID=70)
  [   3x]  Vegane Mayo                                    (ID=126)
  [   3x]  Lachsfilet                                     (ID=128)
  [   3x]  Hummus                                         (ID=132)
  [   3x]  Aquafaba (Kichererbsenwasser)                  (ID=914)
  [   3x]  Quiche-Teig                                    (ID=245)
  [   3x]  Spätzle                                        (ID=284)
  [   3x]  Taco-Gewürz                                    (ID=278)
  [   3x]  Mayonnaise                                     (ID=283)
  [   3x]  Gemahlene Nüsse                                (ID=312)
  [   3x]  Putenfleisch                                   (ID=395)
  [   3x]  Lammhackfleisch                                (ID=343)
  [   3x]  Meersalz                                       (ID=359)
  [   3x]  Garam Masala                                   (ID=369)
  [   3x]  Fischfilets                                    (ID=608)
  [   3x]  gemischtes Gemüse                              (ID=682)
  [   3x]  Bier                                           (ID=296)
  [   3x]  Reisnudeln                                     (ID=387)
  [   3x]  Erdnüsse                                       (ID=426)
  [   3x]  Pancetta                                       (ID=436)
  [   3x]  Aprikosen                                      (ID=449)
  [   3x]  Wiener Würstchen                               (ID=465)
  [   3x]  Getrocknete Chilischoten                       (ID=472)
  [   3x]  Rote Chilischoten                              (ID=442)
  [   3x]  Hähnchenteile                                  (ID=1226)
  [   3x]  Veganer Käse (gerieben)                        (ID=503)
  [   3x]  Oliven (schwarz)                               (ID=587)
  [   3x]  Karamellsauce                                  (ID=546)
  [   3x]  Veganer Quark                                  (ID=554)
  [   3x]  brauner Zucker                                 (ID=653)
  [   3x]  gemischte Meeresfrüchte                        (ID=676)
  [   3x]  Filo-Teig                                      (ID=709)
  [   3x]  gesüßte Kondensmilch                           (ID=719)
  [   3x]  Erythrit                                       (ID=731)
  [   3x]  Perlzwiebeln                                   (ID=747)
  [   3x]  rote Currypaste                                (ID=751)
  [   3x]  Grieß                                          (ID=764)
  [   3x]  Süßkartoffel-Pommes                            (ID=827)
  [   3x]  Coleslaw                                       (ID=835)
  [   3x]  Reisessig                                      (ID=889)
  [   3x]  Pastinaken                                     (ID=1186)
  [   3x]  Flohsamenschalen                               (ID=1201)
  [   3x]  Mandelmilch                                    (ID=1208)
  [   3x]  Kartoffelstärke                                (ID=1221)
  [   3x]  geriebener Parmesan                            (ID=1196)
  [   2x]  Vollkornmehl                                   (ID=63)
  [   2x]  Vegane Schokoladenraspeln                      (ID=553)
  [   2x]  Teriyaki-Sauce                                 (ID=135)
  [   2x]  Blauschimmelkäse                               (ID=145)
  [   2x]  Safran                                         (ID=167)
  [   2x]  Kardamom                                       (ID=188)
  [   2x]  Veganer Parmesan                               (ID=213)
  [   2x]  Weiße Schokoladenglasur                        (ID=225)
  [   2x]  Kidneybohnen                                   (ID=231)
  [   2x]  Seitan                                         (ID=251)
  [   2x]  Rum                                            (ID=314)
  [   2x]  Orange                                         (ID=315)
  [   2x]  Ananassaft                                     (ID=863)
  [   2x]  Mandeln gehackt                                (ID=378)
  [   2x]  Hirse                                          (ID=380)
  [   2x]  Erdnussoße                                     (ID=386)
  [   2x]  Glasnudeln                                     (ID=1260)
  [   2x]  Tempeh                                         (ID=389)
  [   2x]  Fusilli                                        (ID=1230)
  [   2x]  Geriebener Cheddar                             (ID=408)
  [   2x]  Curryblätter                                   (ID=424)
  [   2x]  Lammbrühe                                      (ID=433)
  [   2x]  Gorgonzola                                     (ID=336)
  [   2x]  Rinderschulter                                 (ID=454)
  [   2x]  Hühnchen                                       (ID=455)
  [   2x]  Tomatillos                                     (ID=457)
  [   2x]  Enchilada-Sauce                                (ID=466)
  [   2x]  Vegane saure Sahne                             (ID=478)
  [   2x]  Bohnen (schwarz)                               (ID=492)
  [   2x]  Reismehl                                       (ID=537)
  [   2x]  Kirschsaft                                     (ID=552)
  [   2x]  Oreo-Kekse                                     (ID=876)
  [   2x]  Wirsing                                        (ID=570)
  [   2x]  Veganer Biskuitteig                            (ID=594)
  [   2x]  Grober Pfeffer                                 (ID=606)
  [   2x]  Vanille                                        (ID=622)
  [   2x]  Marmelade                                      (ID=771)
  [   2x]  Balsamico-Glasur                               (ID=643)
  [   2x]  Granola                                        (ID=645)
  [   2x]  Rundkornreis                                   (ID=655)
  [   2x]  Lammhaxen                                      (ID=657)
  [   2x]  Rinderkoteletts                                (ID=662)
  [   2x]  Rinderbrust                                    (ID=664)
  [   2x]  rote Pfefferflocken                            (ID=674)
  [   2x]  Schokoladensauce                               (ID=689)
  [   2x]  Löffelbiskuits                                 (ID=701)
  [   2x]  Kaffee                                         (ID=1222)
  [   2x]  Rosenwasser                                    (ID=707)
  [   2x]  Mirin                                          (ID=744)
  [   2x]  geröstete Kokosraspeln                         (ID=757)
  [   2x]  Leber                                          (ID=759)
  [   2x]  Hanföl                                         (ID=786)
  [   2x]  Hanfmilch                                      (ID=788)
  [   2x]  Calvados                                       (ID=793)
  [   2x]  Orangen                                        (ID=796)
  [   2x]  Salbeiblätter                                  (ID=819)
  [   2x]  Vollkorn-Brötchen                              (ID=830)
  [   2x]  Brioche-Brötchen                               (ID=834)
  [   2x]  Dillgurken                                     (ID=841)
  [   2x]  Tortilla-Chips                                 (ID=822)
  [   2x]  gemischte Nüsse                                (ID=869)
  [   2x]  Sojasprossen                                   (ID=884)
  [   2x]  Basmatireis                                    (ID=883)
  [   2x]  Essiggurken                                    (ID=923)
  [   2x]  Reispapierblätter                              (ID=901)
  [   2x]  Chicken Wings                                  (ID=904)
  [   2x]  Spiralnudeln                                   (ID=911)
  [   2x]  Erdbeeren oder Himbeeren                       (ID=915)
  [   2x]  Parmaschinken                                  (ID=1215)
  [   2x]  Toast                                          (ID=1217)
  [   2x]  Mandelblättchen                                (ID=1218)
  [   2x]  Ziegenkäse                                     (ID=1220)
  [   1x]  Kürbiskernöl                                   (ID=34)
  [   1x]  Kalbschnitzel                                  (ID=37)
  [   1x]  Basilikum getrocknet                           (ID=98)
  [   1x]  Dillsauce                                      (ID=130)
  [   1x]  Falafel                                        (ID=131)
  [   1x]  Pulled Pork                                    (ID=133)
  [   1x]  Krautsalat                                     (ID=134)
  [   1x]  Schweizer Käse                                 (ID=144)
  [   1x]  Buffalo-Sauce                                  (ID=139)
  [   1x]  Kokosjoghurt                                   (ID=187)
  [   1x]  Steinpilze                                     (ID=1188)
  [   1x]  Kürbiskerne                                    (ID=212)
  [   1x]  Orangenabrieb                                  (ID=223)
  [   1x]  Korianderpulver                                (ID=239)
  [   1x]  Soja-Filets                                    (ID=248)
  [   1x]  Große Pilze                                    (ID=253)
  [   1x]  Ingwerpulver                                   (ID=254)
  [   1x]  Senfpulver                                     (ID=256)
  [   1x]  Schweinefleisch (gehackt)                      (ID=430)
  [   1x]  Rinderfilets                                   (ID=275)
  [   1x]  Brandy                                         (ID=1253)
  [   1x]  Tacoschalen                                    (ID=279)
  [   1x]  Gurkenscheiben                                 (ID=282)
  [   1x]  Sauerteigstarter                               (ID=295)
  [   1x]  Meerrettich                                    (ID=305)
  [   1x]  Pflaume                                        (ID=306)
  [   1x]  Preiselbeeren                                  (ID=1249)
  [   1x]  Putenhackfleisch                               (ID=344)
  [   1x]  Rote Beete                                     (ID=347)
  [   1x]  Pfefferminzextrakt                             (ID=360)
  [   1x]  Orangenstücke                                  (ID=362)
  [   1x]  Salbei                                         (ID=366)
  [   1x]  Tiefkühlgemüse                                 (ID=373)
  [   1x]  Veganes Pesto                                  (ID=376)
  [   1x]  Hoisin-Soße                                    (ID=388)
  [   1x]  Sesam-Soße                                     (ID=390)
  [   1x]  Kalbfleisch                                    (ID=391)
  [   1x]  Kalbsbrühe                                     (ID=668)
  [   1x]  Soja Fleisch                                   (ID=396)
  [   1x]  Sardinen                                       (ID=411)
  [   1x]  Edamame                                        (ID=417)
  [   1x]  Gruyère                                        (ID=435)
  [   1x]  Prosciutto                                     (ID=335)
  [   1x]  Serrano-Schinken                               (ID=437)
  [   1x]  Schwarzwälder Schinken                         (ID=438)
  [   1x]  Hühnchenbrust                                  (ID=405)
  [   1x]  Feigen                                         (ID=448)
  [   1x]  Grüne Tomatillo-Sauce                          (ID=463)
  [   1x]  Salsa Verde                                    (ID=474)
  [   1x]  Grüne Salsa                                    (ID=475)
  [   1x]  Rote Salsa                                     (ID=476)
  [   1x]  Thunfisch                                      (ID=340)
  [   1x]  Melanzani                                      (ID=499)
  [   1x]  Vollkorn-Mürbeteig                             (ID=505)
  [   1x]  Nutella                                        (ID=481)
  [   1x]  Zucker und Zimt Mischung                       (ID=519)
  [   1x]  Low-Carb Brot                                  (ID=523)
  [   1x]  Kümmel (gemahlen)                              (ID=531)
  [   1x]  Eierlikör                                      (ID=533)
  [   1x]  Haferflocken (glutenfrei)                      (ID=536)
  [   1x]  Leinsamenmehl                                  (ID=547)
  [   1x]  Gemahlene Haselnüsse                           (ID=551)
  [   1x]  Mohn (gemahlen)                                (ID=1257)
  [   1x]  Johannisbeereglee                              (ID=1248)
  [   1x]  Semmeln (altbacken)                            (ID=567)
  [   1x]  Dunkelbier                                     (ID=561)
  [   1x]  Kartoffelmehl                                  (ID=1254)
  [   1x]  Vegane Schokoladencreme                        (ID=595)
  [   1x]  Parmesan (gerieben)                            (ID=598)
  [   1x]  Pflanzliches Hack                              (ID=600)
  [   1x]  Getrocknete Pflaumen                           (ID=601)
  [   1x]  Senfkörner                                     (ID=1243)
  [   1x]  rote Chiliflocken                              (ID=624)
  [   1x]  Romana-Salat                                   (ID=631)
  [   1x]  Croutons                                       (ID=632)
  [   1x]  Caesar-Dressing                                (ID=633)
  [   1x]  Crepes                                         (ID=636)
  [   1x]  gefrorene Erbsen                               (ID=639)
  [   1x]  scharfe Sauce                                  (ID=642)
  [   1x]  Kiwi                                           (ID=649)
  [   1x]  Tarteboden                                     (ID=651)
  [   1x]  Bisquitböden                                   (ID=656)
  [   1x]  Kaninchen                                      (ID=658)
  [   1x]  Entenkeulen                                    (ID=660)
  [   1x]  Putenkeulen                                    (ID=663)
  [   1x]  Schweinerippchen                               (ID=665)
  [   1x]  Marinara-Sauce                                 (ID=669)
  [   1x]  Fajita-Gewürz                                  (ID=671)
  [   1x]  Salsiccia                                      (ID=672)
  [   1x]  Branzino                                       (ID=677)
  [   1x]  Oktopus                                        (ID=680)
  [   1x]  Fischbrühe                                     (ID=675)
  [   1x]  Wildreis                                       (ID=688)
  [   1x]  Kokoscreme                                     (ID=690)
  [   1x]  Kürbisgewürz                                   (ID=692)
  [   1x]  Kürbispüree                                    (ID=693)
  [   1x]  Pekannüsse                                     (ID=694)
  [   1x]  Navy-Bohnen                                    (ID=697)
  [   1x]  geräucherte Wurst                              (ID=698)
  [   1x]  Vanilleeis                                     (ID=703)
  [   1x]  Klebreismehl                                   (ID=704)
  [   1x]  Rote Bohnenpaste                               (ID=705)
  [   1x]  Milchpulver                                    (ID=706)
  [   1x]  Dulce de Leche                                 (ID=710)
  [   1x]  Paneer                                         (ID=711)
  [   1x]  Rosenblätter                                   (ID=712)
  [   1x]  Kardamomkapseln                                (ID=1255)
  [   1x]  Schokoladenstreusel                            (ID=714)
  [   1x]  Sahnesteif                                     (ID=716)
  [   1x]  evaporierte Milch                              (ID=720)
  [   1x]  Keksbrösel                                     (ID=721)
  [   1x]  Matcha-Pulver                                  (ID=722)
  [   1x]  Kokos                                          (ID=723)
  [   1x]  Mungbohnen                                     (ID=724)
  [   1x]  Rote Bohnen                                    (ID=725)
  [   1x]  Kaviar                                         (ID=727)
  [   1x]  Räucherlachs                                   (ID=729)
  [   1x]  Zuckerfreier Sirup                             (ID=732)
  [   1x]  Samen                                          (ID=733)
  [   1x]  Kochspray                                      (ID=734)
  [   1x]  Bagel                                          (ID=735)
  [   1x]  Geräucherter Lachs                             (ID=736)
  [   1x]  Vodka                                          (ID=739)
  [   1x]  Weißwein (trocken)                             (ID=1251)
  [   1x]  Risottoreis                                    (ID=1252)
  [   1x]  Kartoffelknödel                                (ID=742)
  [   1x]  Sake                                           (ID=743)
  [   1x]  Pak Choi                                       (ID=1246)
  [   1x]  Geräucherter Tofu                              (ID=746)
  [   1x]  Trockenaprikosen                               (ID=748)
  [   1x]  Tikka-Masala-Paste                             (ID=753)
  [   1x]  geröstete Erdnüsse                             (ID=754)
  [   1x]  Kassler                                        (ID=760)
  [   1x]  Pinkelwürste                                   (ID=761)
  [   1x]  Eiswasser                                      (ID=763)
  [   1x]  Kalbsnieren                                    (ID=765)
  [   1x]  Sauerampfer                                    (ID=766)
  [   1x]  Zuckerrübensirup                               (ID=768)
  [   1x]  Mettwürste                                     (ID=769)
  [   1x]  Maisgrieß                                      (ID=775)
  [   1x]  Cannelloni                                     (ID=780)
  [   1x]  Strudelteig                                    (ID=781)
  [   1x]  Flammkuchenteig                                (ID=783)
  [   1x]  Hanfprotein oder Chiasamen                     (ID=787)
  [   1x]  Kokosflocken                                   (ID=789)
  [   1x]  Estragon                                       (ID=795)
  [   1x]  Bier (hell)                                    (ID=1262)
  [   1x]  Cognac                                         (ID=798)
  [   1x]  Entrecôte-Steak                                (ID=799)
  [   1x]  Gänseleber                                     (ID=801)
  [   1x]  Trüffel                                        (ID=802)
  [   1x]  Madeira                                        (ID=803)
  [   1x]  Grüne Erbsen                                   (ID=807)
  [   1x]  Tahini                                         (ID=813)
  [   1x]  Taco-Schalen                                   (ID=814)
  [   1x]  Italienische Gewürze                           (ID=810)
  [   1x]  Brunnenkresse                                  (ID=815)
  [   1x]  Geröstete Mandeln                              (ID=816)
  [   1x]  Spinat-Tortellini                              (ID=817)
  [   1x]  Geröstete Kürbiskerne                          (ID=818)
  [   1x]  Ciabatta-Brötchen                              (ID=824)
  [   1x]  Chili-Paste                                    (ID=825)
  [   1x]  Vegane Feta                                    (ID=829)
  [   1x]  Griechischer Salat                             (ID=831)
  [   1x]  Geröstete Kartoffeln                           (ID=832)
  [   1x]  Junge grüne Jackfruit                          (ID=833)
  [   1x]  Paniertes Gemüse                               (ID=823)
  [   1x]  Sprossen                                       (ID=839)
  [   1x]  Zitronen-Tahini-Dressing                       (ID=840)
  [   1x]  Kartoffelwedges                                (ID=842)
  [   1x]  Brotkrumen                                     (ID=844)
  [   1x]  Essiggurke                                     (ID=1242)
  [   1x]  rote Paprikaflocken                            (ID=847)
  [   1x]  Basilikum-Pesto                                (ID=853)
  [   1x]  Tortellini                                     (ID=854)
  [   1x]  Eiernudeln                                     (ID=858)
  [   1x]  Fischsauce                                     (ID=859)
  [   1x]  vegane Schokoladenkekse                        (ID=872)
  [   1x]  veganer Frischkäse                             (ID=873)
  [   1x]  Sojamehl                                       (ID=874)
  [   1x]  vegane Zartbitterschokolade                    (ID=875)
  [   1x]  Werther's Original Karamellbonbons             (ID=878)
  [   1x]  Milky Way                                      (ID=879)
  [   1x]  Mars                                           (ID=880)
  [   1x]  Babyspinat                                     (ID=882)
  [   1x]  Gouda                                          (ID=323)
  [   1x]  rote Thai-Currypaste                           (ID=886)
  [   1x]  Käse gerieben                                  (ID=1259)
  [   1x]  Panko-Semmelbrösel                             (ID=887)
  [   1x]  Kochschinken                                   (ID=338)
  [   1x]  Fontina                                        (ID=890)
  [   1x]  Langkornreis                                   (ID=892)
  [   1x]  Parmesan (Optional)                            (ID=894)
  [   1x]  Mozzarella-Sticks                              (ID=903)
  [   1x]  Chilisoße                                      (ID=905)
  [   1x]  Tabasco                                        (ID=906)
  [   1x]  Minutensteaks                                  (ID=910)
  [   1x]  Schweinsmedaillons                             (ID=912)
  [   1x]  Gouda(gerieben)                                (ID=918)
  [   1x]  Jasminreis                                     (ID=921)
  [   1x]  Würstchen                                      (ID=924)
  [   1x]  Ketchup (optional)                             (ID=925)
  [   1x]  Fettarmer Joghurt                              (ID=933)
  [   1x]  Portobello-Pilze                               (ID=939)
  [   1x]  Schwarzer Pfeffer                              (ID=941)
  [   1x]  Kleine Nudeln                                  (ID=946)
  [   1x]  Kalbshaxenscheiben                             (ID=947)
  [   1x]  Espresso                                       (ID=949)
  [   1x]  Entenbrust                                     (ID=1182)
